,기준_년분기_코드,행정동_코드_명,당월_매출_금액,10대_유동인구수,20대_유동인구수,30대_유동인구수,40대_유동인구수,50대_유동인구수,60대_이상_유동인구수
50,20201,송정동,936927590,344606,685420,651656,541147,523698,650117
96,20201,여의동,9424988600,661009,741742,1261216,1161597,749586,1123637
107,20201,필동,2092800260,130585,472888,391843,419701,351273,404306
133,20201,명동,8558691529,188652,1015233,1319473,1114972,727751,689825
148,20201,이화동,3934309557,376632,898284,736919,617774,513832,717614
153,20201,장충동,493360305,158180,539176,404317,348345,305350,418292
166,20201,소공동,3721653529,88116,444650,671489,608096,394308,329388
168,20201,안암동,3726755584,633217,1955951,776080,596232,633449,1016042
187,20201,신촌동,4807108283,984638,4387151,1582408,988115,868349,1102708
189,20201,한강로동,4846518070,402020,866865,1154637,964137,693958,876989
190,20201,원효로2동,526948502,557478,460839,595528,646992,563847,899924
218,20201,이태원1동,5327920991,151298,702330,561189,364786,303211,414776
247,20201,을지로동,3071460704,100314,651760,907422,1046723,1052966,1214787
290,20201,영등포동,5996023703,687318,2170982,2116875,1518423,1398467,1815702
407,20202,송정동,984270785,326691,702101,644423,518056,510687,633751
415,20202,이화동,3880948928,359669,869058,706022,585605,505311,700952
446,20202,안암동,4029488631,722630,2170453,788283,607069,634543,1019035
498,20202,소공동,3360899495,77180,394754,630628,573923,381705,306287
514,20202,을지로동,3556665256,93252,683583,918844,1003066,1028755,1184234
532,20202,영등포동,5910447543,757608,2180037,2187252,1583110,1427001,1796950
574,20202,장충동,844644236,164715,561817,379233,328399,295660,408433
614,20202,신촌동,4797709169,926083,4336258,1586498,967104,862556,1076608
618,20202,필동,2211454325,125456,454231,362636,374604,319015,348006
623,20202,한강로동,5271542903,392400,808138,1090012,944685,676504,836840
633,20202,원효로2동,576800122,576020,453040,594355,645185,550680,867413
648,20202,명동,8246646051,145774,846680,1189820,993561,653348,587714
788,20202,이태원1동,4451430857,124031,493357,486490,343453,286151,384862
798,20202,여의동,10508310838,674598,740681,1220880,1128520,730864,1050105
831,20203,이화동,4232406857,363345,843793,689710,570550,504992,705106
839,20203,소공동,3812233086,96758,402878,635132,585291,381649,289829
878,20203,원효로2동,604652638,564893,445315,591114,635519,542739,858052
888,20203,을지로동,4341464624,95918,692201,888778,980520,1014487,1150627
897,20203,안암동,4391289395,635326,2035354,780461,601002,628410,1020294
902,20203,이태원1동,4896502266,117766,477997,473896,340604,282110,367459
926,20203,필동,2335553901,121966,433767,366712,376991,324796,340751
1015,20203,송정동,1110638282,336231,691427,638620,519190,505783,635845
1078,20203,장충동,968112240,136072,532632,367031,319469,291420,394468
1140,20203,한강로동,5466619651,398147,825290,1086890,949182,670276,822777
1174,20203,명동,9674281167,149086,854774,1149767,974682,644355,574754
1180,20203,신촌동,5323012263,848213,3998109,1535604,948658,820965,1009406
1192,20203,영등포동,6544707666,781293,2233325,2277808,1629093,1462088,1833582
1201,20203,여의동,11234581494,668804,727074,1196691,1120332,728375,1042952
1227,20204,필동,2243744238,130190,438759,366156,382274,322829,337695
1274,20204,소공동,4000767704,91349,369957,611502,566962,368678,275898
1279,20204,여의동,10218808228,677117,692263,1180016,1126576,736515,1033859
1296,20204,이화동,3936139423,362725,822791,686028,571798,521430,719156
1303,20204,을지로동,4110910559,89336,639437,861169,963796,992988,1110529
1322,20204,명동,9437412119,158123,818417,1114571,971866,638749,569281
1405,20204,영등포동,6441347128,787232,2188861,2309691,1604307,1439478,1800604
1437,20204,장충동,861995355,139105,536979,360713,316181,280585,388099
1511,20204,송정동,1015319977,334113,711612,631347,515456,499547,645147
1535,20204,한강로동,5266650644,401804,840366,1138823,1000603,720597,868386
1565,20204,이태원1동,4787114892,131610,497257,491233,352512,295542,397182
1579,20204,신촌동,5187980117,734818,3677863,1473959,911163,759769,967296
1588,20204,원효로2동,584382557,572294,436017,581388,624995,545950,831596
1624,20204,안암동,4240082215,678360,2118009,791434,622774,640519,1029643
1629,20211,송정동,994959417,321331,708011,628538,524864,492001,628974
1632,20211,명동,8806626034,146658,757455,1071165,960608,618373,535886
1671,20211,신촌동,4950648661,797112,3507610,1489572,928301,781405,985241
1676,20211,필동,2052844672,137600,403676,356337,371967,317830,323290
1694,20211,이화동,3657466112,345909,777337,666412,555748,507866,695941
1796,20211,원효로2동,570734448,566351,451531,592303,617705,557203,853310
1836,20211,장충동,761973357,135671,497098,367400,319622,278976,376904
1861,20211,영등포동,6579756604,820110,2214235,2392276,1607548,1438013,1795563
1864,20211,을지로동,4087450555,90738,629376,835507,950245,965831,1067423
1887,20211,여의동,10017740779,652837,744974,1215858,1162018,751955,1017383
1938,20211,한강로동,5134390906,419805,891239,1211632,1047539,759557,879146
1982,20211,이태원1동,4418525864,138747,478583,492234,369338,304819,417656
1996,20211,소공동,3750384009,79464,363011,598910,559352,356280,259732
2010,20211,안암동,3835462113,645948,1935865,780484,627601,654337,1044585
2055,20212,장충동,922611206,137791,524951,383516,337855,288625,379777
2141,20212,영등포동,7120121674,819965,2285170,2423090,1646445,1447715,1791735
2153,20212,을지로동,5197060568,111313,725238,948225,1026131,1018045,1128483
2185,20212,이태원1동,5275854006,148959,542132,535184,402102,321123,432913
2213,20212,소공동,4320541038,113158,394111,637382,581195,386416,282781
2222,20212,이화동,3934602307,381392,858285,693072,566592,528811,718502
2257,20212,여의동,13290250367,681624,836103,1289897,1184533,763895,986848
2330,20212,원효로2동,607722564,574622,451672,592694,602649,544312,824812
2362,20212,한강로동,5928422944,421559,956565,1292546,1055783,753060,851533
2370,20212,신촌동,5906783800,954820,3863548,1571458,964173,825336,1010929
2374,20212,명동,10769956412,179478,827512,1150655,1020303,664736,581199
2386,20212,필동,2363238641,172974,459267,389951,393562,339566,336368
2401,20212,송정동,1067338269,310784,728811,626633,530136,489301,623934
2438,20212,안암동,4588314464,812668,2085908,782972,615424,638223,991707
2484,20213,명동,10267247251,163627,781171,1037290,927890,610416,532059
2503,20213,여의동,12554716787,678394,745973,1170490,1114355,740835,964711
2541,20213,송정동,1082956516,327711,741043,661294,539340,510711,658401
2576,20213,영등포동,7696341357,828463,2199735,2361068,1583204,1352464,1683008
2596,20213,필동,2500137672,135941,412937,385435,374582,334416,345129
2695,20213,한강로동,5757592792,406630,890448,1173975,958730,690949,775495
2705,20213,이태원1동,5473190504,142846,494380,501215,382935,309083,412275
2755,20213,을지로동,5645770479,126362,674547,880203,958199,960694,1077981
2794,20213,이화동,4061220896,315523,785710,662914,547157,503598,675430
2796,20213,원효로2동,638644485,654770,483644,656372,649468,606803,913396
2801,20213,안암동,4848032799,676666,2019640,829366,640198,664914,1029688
2803,20213,신촌동,5890156998,843701,3682767,1567506,944004,823254,1002393
2823,20213,장충동,878405785,121808,514992,385432,339501,293187,376758
2831,20213,소공동,4121916543,104471,370252,576547,537638,357641,261822
2877,20214,송정동,1011149569,303662,753681,658322,557587,515442,685363
2906,20214,이화동,3938149610,344705,866775,702819,574514,520586,670334
2930,20214,안암동,5591748307,800523,2378427,864527,673950,711166,1040864
2940,20214,필동,2632930916,155459,484334,414727,407926,368818,381532
2951,20214,을지로동,5887155143,139304,780177,983094,1079710,1051103,1128845
2993,20214,영등포동,8362144664,814224,2301064,2438753,1623564,1401826,1736422
3123,20214,여의동,12748776278,700933,803370,1295516,1206035,797417,996367
3126,20214,신촌동,6325066639,917088,4209027,1666170,1004785,868983,1033938
3131,20214,원효로2동,599357801,682190,480928,675073,661029,617118,923135
3141,20214,장충동,960790854,125812,563217,412887,359868,310609,394431
3195,20214,소공동,5001624750,142399,417253,653923,606199,410957,295472
3209,20214,명동,11754825719,219382,945338,1179492,1039158,692426,594453
3240,20214,이태원1동,6287178751,162840,629421,564457,404930,320386,432076
3257,20214,한강로동,5538584272,420864,920090,1184917,946126,679373,748844
3273,20221,소공동,4723161423,119107,384798,606751,565233,386265,270678
3288,20221,신촌동,5803749071,1023213,4177183,1654518,974475,838684,1027161
3309,20221,이태원1동,5259088595,167881,560842,551006,409874,323294,445850
3340,20221,영등포동,8710649484,840146,2291387,2430218,1596220,1405944,1741971
3349,20221,안암동,5276993057,760244,2219218,840291,668502,706494,1041614
3386,20221,이화동,3862127009,303931,794145,658585,535508,496210,643242
3390,20221,원효로2동,614474511,642901,483932,670833,654303,611997,924265
3420,20221,여의동,11420220639,702289,791606,1241798,1181503,788789,982098
3510,20221,한강로동,5383483639,449459,922171,1175292,907597,672088,756090
3515,20221,명동,13535094950,217437,914240,1108328,991023,655108,554919
3527,20221,을지로동,5991602374,137739,738124,902721,993343,963535,1054270
3613,20221,장충동,1020034688,140873,546183,396042,349363,292195,375484
3625,20221,필동,2529591055,160518,452774,381499,379752,347188,362427
3629,20221,송정동,969366977,301989,744663,648584,550713,508180,672780
3714,20222,원효로2동,835795120,614244,482261,668836,654472,589920,908881
3716,20222,신촌동,7031780269,1209856,4923087,1778256,1048924,894022,1084807
3736,20222,장충동,1589806804,177185,607581,420637,371063,308829,396919
3758,20222,이화동,4429614259,378691,888388,711188,577924,524271,665157
3812,20222,송정동,983181744,296965,742547,637097,544003,502040,663128
3813,20222,소공동,5527090378,199025,457189,703326,645846,437758,325761
3827,20222,필동,3138074787,219590,560314,429931,418777,377177,388535
3833,20222,을지로동,6867673612,178760,912406,1070734,1147415,1084596,1172555
3925,20222,이태원1동,7670777249,184432,784538,681510,455504,340095,455957
3992,20222,명동,18375759513,314553,1079512,1333032,1175890,774900,657367
4017,20222,안암동,6371949182,1132998,2782414,895071,718687,723559,1065927
4021,20222,한강로동,6049660246,460451,1004838,1258785,949870,694816,787797
4049,20222,영등포동,9166407852,864101,2424128,2536993,1704675,1479120,1875671
4062,20222,여의동,15677842914,756105,911672,1368526,1275068,823517,983534
4108,20223,명동,21334905540,322131,1079671,1321483,1172328,772682,639018
4151,20223,한강로동,6555298658,491234,1075841,1365617,1035158,753018,797523
4183,20223,이화동,4725850082,371465,878095,689518,558043,511409,625444
4213,20223,원효로2동,967809720,639265,515995,732457,692929,620408,972618
4280,20223,여의동,17051990804,703596,878932,1334635,1248689,808480,943749
4321,20223,신촌동,7779444789,1162563,4859958,1755810,1037465,863148,1070232
