,안암동,영등포동,이태원1동,여의동,신촌동,원효로2동,을지로동,소공동,장충동,한강로동,이화동,명동,송정동,필동
10대최소,569895,618586,105989,587553,661336,501730,80402,69462,109627,353160,273538,131197,235965,109769
20대최소,1742278,1953884,430197,623037,3156849,392415,566438,326710,447388,727324,699603,681710,571674,363308
30대최소,698472,1905188,426506,1053441,1326563,523249,751956,518892,324642,978201,592726,933561,479067,320703
40대최소,536609,1366581,306544,1002920,820047,542384,855220,483874,284563,816837,481957,835101,413228,334770
50대최소,565569,1217218,253899,655538,683792,488465,864625,320652,251078,603248,446589,549374,353709,286047
10대최대,1306496,1026231,202875,935257,1350078,750409,284029,237475,220756,558533,541555,451100,379067,258320
20대최대,3525849,2696710,881464,1069357,6104457,632741,1003647,535230,772548,1245837,1183930,1235746,829049,661363
30대최대,1047129,2895063,749661,1615481,1983793,893836,1210166,792392,464858,1606468,917089,1500288,727423,520639
40대최대,828044,1952712,506410,1559477,1201817,803862,1262156,725188,413027,1247472,744352,1387371,613346,487904
50대최대,846953,1652562,376800,1065321,1002430,708490,1195125,495737,362665,881698,690217,948743,576068,458456
유사_업종_점포_수,47,83,24,119,107,17,36,63,19,58,25,108,10,37
