,안암동,영등포동,이태원1동,여의동,신촌동,원효로2동,을지로동,소공동,장충동,한강로동,이화동,명동,송정동,필동
10대최소,506574,506574,506574,506574,506574,506574,506574,506574,506574,506574,506574,506574,506574,506574
20대최소,1548692,1548692,1548692,1548692,1548692,1548692,1548692,1548692,1548692,1548692,1548692,1548692,1548692,1548692
30대최소,620864,620864,620864,620864,620864,620864,620864,620864,620864,620864,620864,620864,620864,620864
40대최소,476986,476986,476986,476986,476986,476986,476986,476986,476986,476986,476986,476986,476986,476986
50대최소,502728,502728,502728,502728,502728,502728,502728,502728,502728,502728,502728,502728,502728,502728
10대최대,1425269,1425269,1425269,1425269,1425269,1425269,1425269,1425269,1425269,1425269,1425269,1425269,1425269,1425269
20대최대,3846380,3846380,3846380,3846380,3846380,3846380,3846380,3846380,3846380,3846380,3846380,3846380,3846380,3846380
30대최대,1142322,1142322,1142322,1142322,1142322,1142322,1142322,1142322,1142322,1142322,1142322,1142322,1142322,1142322
40대최대,903320,903320,903320,903320,903320,903320,903320,903320,903320,903320,903320,903320,903320,903320
50대최대,923948,923948,923948,923948,923948,923948,923948,923948,923948,923948,923948,923948,923948,923948
유사_업종_점포_수,47,83,24,119,107,17,36,63,19,58,25,108,10,37
